transaction_id,vendor_id,vendor_name,gstin,department,category,invoice_date,due_date,payment_date,amount,has_purchase_order,invoice_number,approved_by,status
TXN0001,V002,Infosys Limited,29AABCI5678B2Z3,IT,Office Supplies,2024-05-20,2024-06-19,2024-09-05,50000.0,False,INV-876646,Ravi Kumar,Disputed
TXN0002,V007,HDFC Bank Ltd,27AAHCH4118H1ZK,IT,Software,2024-02-17,2024-03-18,2024-03-09,113225.8,True,INV-688508,Priya Sharma,Disputed
TXN0003,V007,HDFC Bank Ltd,27AAHCH4118H1ZK,Finance,Maintenance,2024-10-28,2024-11-27,2024-11-13,142704.4,False,INV-944962,Priya Sharma,Pending
TXN0004,V006,Reliance Industries,27AAACR5055K1ZT,Operations,Hardware,2024-04-20,2024-05-20,2024-05-14,478820.47,True,INV-498382,Ravi Kumar,Paid
TXN0005,V006,Reliance Industries,27AAACR5055K1ZT,Marketing,Consulting,2024-01-23,2024-02-22,2024-02-13,366217.23,True,INV-496922,Ravi Kumar,Disputed
TXN0006,V005,Tech Mahindra,27AABCT7890E5Z7,Legal,Travel,2024-07-04,2024-08-03,2024-07-22,290789.31,False,INV-793384,Priya Sharma,Paid
TXN0007,V002,Infosys Limited,29AABCI5678B2Z3,Finance,Software,2024-07-13,2024-08-12,2024-08-01,142596.93,True,INV-270555,Amit Patel,Paid
TXN0008,V004,HCL Technologies,06AABCH3456D4Z9,Legal,Consulting,2024-12-25,2025-01-24,2025-01-13,468644.02,False,INV-765822,Priya Sharma,Disputed
TXN0009,V004,HCL Technologies,06AABCH3456D4Z9,Finance,Maintenance,2024-07-13,2024-08-12,2024-07-28,138624.17,True,INV-684004,Priya Sharma,Paid
TXN0010,V001,Tata Consultancy Services,27AABCT1234A1Z5,Finance,Software,2024-06-10,2024-07-10,2024-07-08,203576.57,True,INV-694731,Amit Patel,Paid
TXN0011,V008,Fraudulent Vendor A,27AABCT1234A1Z5,HR,Office Supplies,2024-08-22,2024-09-21,2024-09-18,75721.44,True,INV-688637,Amit Patel,Disputed
TXN0012,V007,HDFC Bank Ltd,27AAHCH4118H1ZK,Marketing,Maintenance,2024-07-04,2024-08-03,2024-07-31,113563.78,True,INV-195325,Ravi Kumar,Paid
TXN0013,V003,Wipro Technologies,29AABCW9012C3Z1,Legal,Hardware,2024-12-14,2025-01-13,2025-01-11,213969.18,True,INV-724834,Sneha Reddy,Disputed
TXN0014,V005,Tech Mahindra,27AABCT7890E5Z7,Marketing,Software,2024-12-14,2025-01-13,2025-01-02,361757.3,True,INV-887352,Amit Patel,Paid
TXN0015,V002,Infosys Limited,29AABCI5678B2Z3,Operations,Maintenance,2024-03-21,2024-04-20,2024-04-08,229593.23,True,INV-376183,Priya Sharma,Disputed
TXN0016,V002,Infosys Limited,29AABCI5678B2Z3,Legal,Consulting,2024-11-23,2024-12-23,2024-12-19,256293.13,True,INV-899550,Priya Sharma,Disputed
TXN0017,V009,Shell India,07AABCS1234F6Z2,IT,Travel,2024-06-14,2024-07-14,2024-07-12,246859.83,True,INV-972064,Amit Patel,Paid
TXN0018,V001,Tata Consultancy Services,27AABCT1234A1Z5,Finance,Travel,2024-02-10,2024-03-11,2024-03-03,47398.46,True,INV-897549,Priya Sharma,Paid
TXN0019,V008,Fraudulent Vendor A,27AABCT1234A1Z5,Marketing,Hardware,2024-05-15,2024-06-14,2024-06-04,266198.52,True,INV-322086,Priya Sharma,Paid
TXN0020,V007,HDFC Bank Ltd,27AAHCH4118H1ZK,Legal,Office Supplies,2024-07-10,2024-08-09,2024-07-31,221859.54,True,INV-359947,Priya Sharma,Paid
TXN0021,V006,Reliance Industries,27AAACR5055K1ZT,IT,Travel,2024-10-10,2024-11-09,2024-11-05,118906.79,False,INV-842225,Ravi Kumar,Paid
TXN0022,V002,Infosys Limited,29AABCI5678B2Z3,IT,Consulting,2024-02-06,2024-03-07,2024-03-02,259507.28,True,INV-324643,Priya Sharma,Disputed
TXN0023,V010,Siemens India,27AABCS5678G7Z4,HR,Hardware,2024-08-30,2024-09-29,2024-09-25,404711.01,False,INV-790993,Sneha Reddy,Paid
TXN0024,V007,HDFC Bank Ltd,27AAHCH4118H1ZK,HR,Maintenance,2024-01-28,2024-02-27,2024-02-16,338315.45,False,INV-522179,Amit Patel,Paid
TXN0025,V004,HCL Technologies,06AABCH3456D4Z9,Finance,Hardware,2024-10-01,2024-10-31,2024-10-24,227063.71,True,INV-585100,Priya Sharma,Paid
TXN0026,V008,Fraudulent Vendor A,27AABCT1234A1Z5,Marketing,Software,2024-01-26,2024-02-25,2024-02-16,327811.72,True,INV-197793,Priya Sharma,Paid
TXN0027,V007,HDFC Bank Ltd,27AAHCH4118H1ZK,HR,Maintenance,2024-04-19,2024-05-19,2024-05-04,433001.95,False,INV-497382,Ravi Kumar,Pending
TXN0028,V005,Tech Mahindra,27AABCT7890E5Z7,HR,Consulting,2024-08-04,2024-09-03,2024-08-22,349812.79,True,INV-682765,Sneha Reddy,Paid
TXN0029,V004,HCL Technologies,06AABCH3456D4Z9,Operations,Hardware,2024-01-30,2024-02-29,2024-02-20,291694.24,False,INV-428838,Ravi Kumar,Paid
TXN0030,V010,Siemens India,27AABCS5678G7Z4,HR,Travel,2024-09-28,2024-10-28,2024-10-19,82929.2,False,INV-294851,Ravi Kumar,Disputed
TXN0031,V002,Infosys Limited,29AABCI5678B2Z3,Legal,Hardware,2024-07-25,2024-08-24,2024-08-09,64343.87,True,INV-707040,Ravi Kumar,Disputed
TXN0032,V002,Infosys Limited,29AABCI5678B2Z3,HR,Office Supplies,2024-10-25,2024-11-24,2024-11-18,284787.33,True,INV-314181,Amit Patel,Paid
TXN0033,V005,Tech Mahindra,27AABCT7890E5Z7,HR,Hardware,2024-12-09,2025-01-08,2024-12-31,324522.89,True,INV-888387,Ravi Kumar,Paid
TXN0034,V008,Fraudulent Vendor A,27AABCT1234A1Z5,Marketing,Travel,2024-02-21,2024-03-22,2024-03-18,41264.06,True,INV-238890,Amit Patel,Paid
TXN0035,V004,HCL Technologies,06AABCH3456D4Z9,Operations,Consulting,2024-03-21,2024-04-20,2024-04-11,221901.36,True,INV-741390,Ravi Kumar,Disputed
TXN0036,V005,Tech Mahindra,27AABCT7890E5Z7,Legal,Software,2024-03-09,2024-04-08,2024-03-24,135910.63,True,INV-680097,Priya Sharma,Paid
TXN0037,V005,Tech Mahindra,27AABCT7890E5Z7,Marketing,Hardware,2024-06-24,2024-07-24,2024-07-13,105780.67,True,INV-629959,Sneha Reddy,Paid
TXN0038,V001,Tata Consultancy Services,27AABCT1234A1Z5,IT,Office Supplies,2024-08-04,2024-09-03,2024-09-02,415527.3,False,INV-908577,Priya Sharma,Paid
TXN0039,V003,Wipro Technologies,29AABCW9012C3Z1,Legal,Maintenance,2024-10-09,2024-11-08,2024-10-30,354305.39,False,INV-178898,Priya Sharma,Disputed
TXN0040,V001,Tata Consultancy Services,27AABCT1234A1Z5,Operations,Travel,2024-10-09,2024-11-08,2024-11-05,78306.42,False,INV-482364,Ravi Kumar,Paid
TXN0041,V004,HCL Technologies,06AABCH3456D4Z9,Legal,Hardware,2024-12-07,2025-01-06,2024-12-24,55882.84,False,INV-526117,Priya Sharma,Paid
TXN0042,V003,Wipro Technologies,29AABCW9012C3Z1,Finance,Maintenance,2024-01-13,2024-02-12,2024-01-28,93783.53,True,INV-531712,Priya Sharma,Paid
TXN0043,V003,Wipro Technologies,29AABCW9012C3Z1,Legal,Software,2024-07-14,2024-08-13,2024-07-30,436722.56,True,INV-309267,Sneha Reddy,Paid
TXN0044,V005,Tech Mahindra,27AABCT7890E5Z7,Finance,Hardware,2024-01-13,2024-02-12,2024-02-05,331716.43,True,INV-172792,Amit Patel,Paid
TXN0045,V009,Shell India,07AABCS1234F6Z2,HR,Office Supplies,2024-10-01,2024-10-31,2024-10-30,168919.18,True,INV-373903,Priya Sharma,Disputed
TXN0046,V005,Tech Mahindra,27AABCT7890E5Z7,IT,Software,2024-11-01,2024-12-01,2024-11-19,220109.06,True,INV-557592,Ravi Kumar,Pending
TXN0047,V010,Siemens India,27AABCS5678G7Z4,Finance,Consulting,2024-01-23,2024-02-22,2024-02-21,355848.72,True,INV-945687,Priya Sharma,Paid
TXN0048,V007,HDFC Bank Ltd,27AAHCH4118H1ZK,IT,Office Supplies,2024-06-18,2024-07-18,2024-07-07,313461.93,True,INV-854717,Amit Patel,Disputed
TXN0049,V005,Tech Mahindra,27AABCT7890E5Z7,Legal,Maintenance,2024-06-16,2024-07-16,2024-07-11,204188.19,True,INV-301158,Sneha Reddy,Pending
TXN0050,V003,Wipro Technologies,29AABCW9012C3Z1,Marketing,Travel,2024-06-03,2024-07-03,2024-06-19,206007.21,False,INV-400850,Priya Sharma,Pending
TXN0051,V010,Siemens India,27AABCS5678G7Z4,Marketing,Office Supplies,2024-06-13,2024-07-13,2024-07-02,500000.0,True,INV-596171,Priya Sharma,Paid
TXN0052,V005,Tech Mahindra,27AABCT7890E5Z7,Marketing,Office Supplies,2024-11-20,2024-12-20,2024-12-18,311534.1,True,INV-887625,Priya Sharma,Paid
TXN0053,V004,HCL Technologies,06AABCH3456D4Z9,Finance,Hardware,2024-01-13,2024-02-12,2024-02-04,27875.79,True,INV-905819,Ravi Kumar,Pending
TXN0054,V007,HDFC Bank Ltd,27AAHCH4118H1ZK,Legal,Travel,2024-04-09,2024-05-09,2024-05-02,360581.23,True,INV-355836,Priya Sharma,Paid
TXN0055,V002,Infosys Limited,29AABCI5678B2Z3,HR,Hardware,2024-03-31,2024-04-30,2024-04-18,403034.38,True,INV-152657,Priya Sharma,Paid
TXN0056,V008,Fraudulent Vendor A,27AABCT1234A1Z5,Finance,Maintenance,2024-12-07,2025-01-06,2024-12-28,267910.28,True,INV-891937,Sneha Reddy,Disputed
TXN0057,V009,Shell India,07AABCS1234F6Z2,HR,Travel,2024-08-16,2024-09-15,2024-09-03,449118.01,True,INV-571932,Amit Patel,Paid
TXN0058,V005,Tech Mahindra,27AABCT7890E5Z7,Marketing,Maintenance,2024-11-16,2024-12-16,2024-12-08,123426.7,False,INV-399607,Priya Sharma,Paid
TXN0059,V006,Reliance Industries,27AAACR5055K1ZT,Operations,Travel,2024-02-11,2024-03-12,2024-03-08,73495.16,True,INV-260227,Priya Sharma,Paid
TXN0060,V007,HDFC Bank Ltd,27AAHCH4118H1ZK,HR,Consulting,2024-10-04,2024-11-03,2024-11-02,235632.53,True,INV-540552,Sneha Reddy,Disputed
TXN0061,V001,Tata Consultancy Services,27AABCT1234A1Z5,Marketing,Maintenance,2024-09-01,2024-10-01,2024-09-25,7918.56,True,INV-508930,Sneha Reddy,Disputed
TXN0062,V009,Shell India,07AABCS1234F6Z2,Marketing,Hardware,2024-09-06,2024-10-06,2024-09-29,113613.71,True,INV-507746,Amit Patel,Pending
TXN0063,V003,Wipro Technologies,29AABCW9012C3Z1,HR,Hardware,2024-11-14,2024-12-14,2024-11-29,269391.2,True,INV-691807,Ravi Kumar,Paid
TXN0064,V007,HDFC Bank Ltd,27AAHCH4118H1ZK,Finance,Maintenance,2024-04-03,2024-05-03,2024-04-26,29890.89,True,INV-576786,Amit Patel,Paid
TXN0065,V007,HDFC Bank Ltd,27AAHCH4118H1ZK,Operations,Maintenance,2024-05-09,2024-06-08,2024-05-31,418280.9,False,INV-665621,Ravi Kumar,Paid
TXN0066,V004,HCL Technologies,06AABCH3456D4Z9,Legal,Software,2024-11-29,2024-12-29,2024-12-28,24927.78,True,INV-309044,Ravi Kumar,Disputed
TXN0067,V003,Wipro Technologies,29AABCW9012C3Z1,Finance,Hardware,2024-08-30,2024-09-29,2024-09-19,336382.13,True,INV-587623,Amit Patel,Paid
TXN0068,V003,Wipro Technologies,29AABCW9012C3Z1,Marketing,Travel,2024-02-28,2024-03-29,2024-03-26,390006.98,True,INV-213349,Ravi Kumar,Paid
TXN0069,V010,Siemens India,27AABCS5678G7Z4,Legal,Maintenance,2024-07-22,2024-08-21,2024-08-17,471027.95,False,INV-824161,Priya Sharma,Paid
TXN0070,V005,Tech Mahindra,27AABCT7890E5Z7,Legal,Travel,2024-03-02,2024-04-01,2024-03-22,399132.47,True,INV-464069,Sneha Reddy,Paid
TXN0071,V002,Infosys Limited,29AABCI5678B2Z3,Marketing,Office Supplies,2024-06-23,2024-07-23,2024-07-16,11262.81,True,INV-210665,Sneha Reddy,Paid
TXN0072,V008,Fraudulent Vendor A,27AABCT1234A1Z5,Legal,Hardware,2024-08-10,2024-09-09,2024-08-31,92187.8,True,INV-383201,Sneha Reddy,Pending
TXN0073,V007,HDFC Bank Ltd,27AAHCH4118H1ZK,Legal,Travel,2024-05-17,2024-06-16,2024-06-12,164540.77,True,INV-190872,Amit Patel,Pending
TXN0074,V004,HCL Technologies,06AABCH3456D4Z9,HR,Travel,2024-11-08,2024-12-08,2024-12-02,335753.29,False,INV-992288,Amit Patel,Paid
TXN0075,V008,Fraudulent Vendor A,27AABCT1234A1Z5,Finance,Consulting,2024-05-12,2024-06-11,2024-05-27,173467.73,True,INV-389688,Ravi Kumar,Disputed
TXN0076,V004,HCL Technologies,06AABCH3456D4Z9,IT,Hardware,2024-07-27,2024-08-26,2024-11-13,246846.03,True,INV-599219,Sneha Reddy,Pending
TXN0077,V001,Tata Consultancy Services,27AABCT1234A1Z5,IT,Consulting,2024-04-23,2024-05-23,2024-05-19,205178.56,True,INV-709805,Amit Patel,Pending
TXN0078,V009,Shell India,07AABCS1234F6Z2,Marketing,Consulting,2024-08-05,2024-09-04,2024-08-26,498332.57,True,INV-836996,Sneha Reddy,Paid
TXN0079,V005,Tech Mahindra,27AABCT7890E5Z7,Operations,Hardware,2024-03-02,2024-04-01,2024-03-26,362035.74,True,INV-661894,Priya Sharma,Paid
TXN0080,V004,HCL Technologies,06AABCH3456D4Z9,Legal,Maintenance,2024-05-21,2024-06-20,2024-06-07,363669.58,True,INV-396745,Ravi Kumar,Paid
TXN0081,V005,Tech Mahindra,27AABCT7890E5Z7,Finance,Consulting,2024-04-01,2024-05-01,2024-04-19,154622.46,False,INV-387636,Ravi Kumar,Paid
TXN0082,V009,Shell India,07AABCS1234F6Z2,Operations,Office Supplies,2024-03-05,2024-04-04,2024-03-22,320745.48,True,INV-112861,Amit Patel,Pending
TXN0083,V008,Fraudulent Vendor A,27AABCT1234A1Z5,HR,Consulting,2024-04-04,2024-05-04,2024-04-29,482921.33,True,INV-600935,Ravi Kumar,Paid
TXN0084,V007,HDFC Bank Ltd,27AAHCH4118H1ZK,HR,Software,2024-10-22,2024-11-21,2024-11-20,316575.62,True,INV-950544,Amit Patel,Paid
TXN0085,V004,HCL Technologies,06AABCH3456D4Z9,IT,Travel,2024-08-01,2024-08-31,2024-08-18,305127.24,True,INV-913373,Sneha Reddy,Pending
TXN0086,V008,Fraudulent Vendor A,27AABCT1234A1Z5,Operations,Travel,2024-08-07,2024-09-06,2024-08-27,156163.22,False,INV-876039,Ravi Kumar,Paid
TXN0087,V004,HCL Technologies,06AABCH3456D4Z9,Operations,Office Supplies,2024-02-11,2024-03-12,2024-03-09,82743.26,True,INV-264136,Ravi Kumar,Pending
TXN0088,V008,Fraudulent Vendor A,27AABCT1234A1Z5,Legal,Travel,2024-08-28,2024-09-27,2024-09-23,149173.35,True,INV-396451,Sneha Reddy,Paid
TXN0089,V004,HCL Technologies,06AABCH3456D4Z9,Operations,Office Supplies,2024-10-28,2024-11-27,2024-11-12,332285.61,True,INV-220351,Priya Sharma,Paid
TXN0090,V005,Tech Mahindra,27AABCT7890E5Z7,Finance,Software,2024-01-31,2024-03-01,2024-02-25,87131.78,True,INV-964278,Amit Patel,Pending
TXN0091,V002,Infosys Limited,29AABCI5678B2Z3,HR,Office Supplies,2024-06-04,2024-07-04,2024-06-29,351368.17,True,INV-617781,Sneha Reddy,Paid
TXN0092,V010,Siemens India,27AABCS5678G7Z4,IT,Maintenance,2024-06-14,2024-07-14,2024-07-13,303838.25,False,INV-807053,Ravi Kumar,Paid
TXN0093,V010,Siemens India,27AABCS5678G7Z4,IT,Hardware,2024-08-28,2024-09-27,2024-09-19,261887.1,True,INV-290305,Sneha Reddy,Pending
TXN0094,V002,Infosys Limited,29AABCI5678B2Z3,HR,Consulting,2024-07-28,2024-08-27,2024-08-16,169987.65,True,INV-268637,Amit Patel,Pending
TXN0095,V008,Fraudulent Vendor A,27AABCT1234A1Z5,Operations,Office Supplies,2024-07-24,2024-08-23,2024-08-14,407715.19,False,INV-192337,Amit Patel,Paid
TXN0096,V006,Reliance Industries,27AAACR5055K1ZT,IT,Maintenance,2024-09-20,2024-10-20,2024-10-19,413338.97,True,INV-668950,Sneha Reddy,Pending
TXN0097,V001,Tata Consultancy Services,27AABCT1234A1Z5,Finance,Travel,2024-07-04,2024-08-03,2024-07-26,313203.77,True,INV-896907,Ravi Kumar,Paid
TXN0098,V005,Tech Mahindra,27AABCT7890E5Z7,Marketing,Hardware,2024-05-27,2024-06-26,2024-06-14,221867.47,True,INV-130271,Priya Sharma,Paid
TXN0099,V005,Tech Mahindra,27AABCT7890E5Z7,Marketing,Software,2024-10-09,2024-11-08,2024-11-04,206955.39,True,INV-218972,Sneha Reddy,Paid
TXN0100,V003,Wipro Technologies,29AABCW9012C3Z1,HR,Office Supplies,2024-05-29,2024-06-28,2024-06-23,256891.65,True,INV-605937,Sneha Reddy,Paid
TXN0101,V008,Fraudulent Vendor A,27AABCT1234A1Z5,Marketing,Hardware,2024-07-15,2024-08-14,2024-07-31,50000.0,False,INV-910208,Sneha Reddy,Paid
TXN0102,V009,Shell India,07AABCS1234F6Z2,Operations,Software,2024-05-24,2024-06-23,2024-06-09,364395.24,True,INV-791998,Sneha Reddy,Paid
TXN0103,V008,Fraudulent Vendor A,27AABCT1234A1Z5,Marketing,Maintenance,2024-06-25,2024-07-25,2024-07-12,169557.78,True,INV-577463,Amit Patel,Paid
TXN0104,V004,HCL Technologies,06AABCH3456D4Z9,Marketing,Maintenance,2024-04-29,2024-05-29,2024-05-22,428726.42,False,INV-880879,Sneha Reddy,Pending
TXN0105,V007,HDFC Bank Ltd,27AAHCH4118H1ZK,Legal,Office Supplies,2024-03-18,2024-04-17,2024-04-16,250187.68,True,INV-718849,Amit Patel,Paid
TXN0106,V008,Fraudulent Vendor A,27AABCT1234A1Z5,IT,Travel,2024-08-21,2024-09-20,2024-09-17,12597.06,True,INV-786587,Priya Sharma,Paid
TXN0107,V008,Fraudulent Vendor A,27AABCT1234A1Z5,Operations,Consulting,2024-11-15,2024-12-15,2024-12-04,347888.78,False,INV-444525,Sneha Reddy,Paid
TXN0108,V008,Fraudulent Vendor A,27AABCT1234A1Z5,Marketing,Software,2024-11-12,2024-12-12,2024-12-01,38868.27,True,INV-401338,Priya Sharma,Paid
TXN0109,V007,HDFC Bank Ltd,27AAHCH4118H1ZK,IT,Office Supplies,2024-12-26,2025-01-25,2025-01-17,436926.72,True,INV-414012,Ravi Kumar,Paid
TXN0110,V006,Reliance Industries,27AAACR5055K1ZT,IT,Consulting,2024-07-02,2024-08-01,2024-07-29,190546.34,True,INV-532067,Priya Sharma,Paid
